gene,enzyme_wild,enzyme_over,reaction_bio,reaction_pro,ref_e_con(g/gDW),over_e_con(g/gDW),Fold_change,enzyme_usage_over,manipulations_x,e1(mmol/gDW),kcat(1/h),mw(g/mg),reaction,flux_wild,flux_over,equation,manipulations_y,type
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR141x,"['0.000e+00', '1.099e-01']","['0.000e+00', '1.620e-02']",h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR141y,"['0.000e+00', '1.098e-01']","['0.000e+00', '1.619e-02']",h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR160x,"['0.000e+00', '8.961e-02']","['0.000e+00', '1.321e-02']",h_c + nadh_c + tpalm2eACP_c --> nad_c + palmACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR160y,"['0.000e+00', '8.959e-02']","['0.000e+00', '1.320e-02']",h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR161x,"['0.000e+00', '1.075e-01']","['0.000e+00', '1.585e-02']",h_c + nadh_c + t3c9palmeACP_c --> hdeACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR161y,"['0.000e+00', '1.074e-01']","['0.000e+00', '1.583e-02']",h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR180x,"['0.000e+00', '1.837e-03']","['0.000e+00', '2.709e-04']",h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR180y,"['0.000e+00', '1.837e-03']","['0.000e+00', '2.709e-04']",h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR181x,"['0.000e+00', '1.053e-01']","['0.000e+00', '1.553e-02']",h_c + nadh_c + t3c11vaceACP_c --> nad_c + octeACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR181y,"['0.000e+00', '1.053e-01']","['0.000e+00', '1.552e-02']",h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR40x,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",but2eACP_c + h_c + nadh_c --> butACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR40y,"['0.000e+00', '2.007e-01']","['0.000e+00', '2.956e-02']",but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR60x,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",h_c + nadh_c + thex2eACP_c --> hexACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR60y,"['0.000e+00', '2.007e-01']","['0.000e+00', '2.956e-02']",h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR80x,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR80y,"['0.000e+00', '2.007e-01']","['0.000e+00', '2.956e-02']",h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,,Overlaped Reaction Range
Cgl1183 and Cgl1184,"['3.843e-04', '5.056e-04']","['4.046e-05', '1.165e-04']",HSK (0.2061994728078262): atp_c + hom__L_c --> adp_c + h_c + phom_c,,0.0003843,4.046e-05,0.1053,0.0532,down,5.117e-07,,79.06,HSK,"['2.088e-01', '5.077e-01']","['2.198e-02', '2.954e-01']",atp_c + hom__L_c --> adp_c + h_c + phom_c,,Overlaped Reaction Range
Cgl0942,"['2.238e-04', '3.452e-04']","['2.356e-05', '1.104e-04']",PRPPS (0.145018890151528): atp_c + r5p_c --> amp_c + h_c + prpp_c,,0.0002238,3.417e-05,0.1527,0.04494,down,1.602e-07,,213.3,PRPPS,"['1.469e-01', '1.000e+03']","['1.546e-02', '1.000e+03']",atp_c + r5p_c --> amp_c + h_c + prpp_c,,Overlaped Reaction Range
Cgl0764,"['2.327e-04', '3.547e-04']","['2.449e-05', '1.005e-04']",PSCVT (0.10432548228820675): pep_c + skm5p_c --> 3psme_c + pi_c,,0.0002327,2.449e-05,0.1053,0.03221,down,5.38e-07,,45.53,PSCVT,"['1.057e-01', '1.000e+03']","['1.112e-02', '1.000e+03']",pep_c + skm5p_c --> 3psme_c + pi_c,,Overlaped Reaction Range
Cgl0996,"['1.645e-04', '2.857e-04']","['1.731e-05', '1.041e-04']",GHMT2r (0.22154522103574267): ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,0.0001645,2.242e-05,0.1363,0.02948,down,2.409e-07,,93.08,ALATA_D2,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,,Overlaped Reaction Range
Cgl0996,"['1.645e-04', '2.857e-04']","['1.731e-05', '1.041e-04']",GHMT2r (0.22154522103574267): ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,0.0001645,2.242e-05,0.1363,0.02948,down,2.409e-07,,93.08,ALATA_L2,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,,Overlaped Reaction Range
Cgl0996,"['1.645e-04', '2.857e-04']","['1.731e-05', '1.041e-04']",GHMT2r (0.22154522103574267): ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,0.0001645,2.242e-05,0.1363,0.02948,down,2.409e-07,,93.08,GHMT2r,"['2.244e-01', '1.000e+03']","['2.362e-02', '1.000e+03']",ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,Overlaped Reaction Range
Cgl2204,"['1.486e-04', '3.001e-04']","['1.564e-05', '9.501e-05']",LEUTAi (0.15699863174631268): 4mop_c + glu__L_c --> akg_c + leu__L_c,,0.0001486,1.564e-05,0.1053,0.02057,down,3.752e-07,,41.69,ILETA,"['8.539e-02', '1.000e+03']","['8.988e-03', '1.000e+03']",3mop_c + glu__L_c --> akg_c + ile__L_c,,Overlaped Reaction Range
Cgl2204,"['1.486e-04', '3.001e-04']","['1.564e-05', '9.501e-05']",LEUTAi (0.15699863174631268): 4mop_c + glu__L_c --> akg_c + leu__L_c,,0.0001486,1.564e-05,0.1053,0.02057,down,3.752e-07,,41.69,VALTA,"['0.000e+00', '3.727e-01']","['0.000e+00', '2.243e-01']",3mob_c + glu__L_c --> akg_c + val__L_c,,Overlaped Reaction Range
Cgl2204,"['1.486e-04', '3.001e-04']","['1.564e-05', '9.501e-05']",LEUTAi (0.15699863174631268): 4mop_c + glu__L_c --> akg_c + leu__L_c,,0.0001486,1.564e-05,0.1053,0.02057,down,3.752e-07,,41.69,LEUTAi,"['1.590e-01', '1.000e+03']","['1.674e-02', '1.000e+03']",4mop_c + glu__L_c --> akg_c + leu__L_c,,Overlaped Reaction Range
Cgl2844,"['9.081e-05', '2.428e-04']","['9.559e-06', '8.868e-05']","ALATA_L (0.4915569073711258): glu__L_c + pyr_c --> akg_c + ala__L_c, VPAMT (0.12210980241448668): 3mob_c + ala__L_c --> pyr_c + val__L_c",,0.0001208,1.272e-05,0.1053,0.01672,down,2.721e-07,,46.75,ALATA_L,"['3.742e-01', '1.000e+03']","['3.938e-02', '1.000e+03']",glu__L_c + pyr_c --> akg_c + ala__L_c,,Overlaped Reaction Range
Cgl2844,"['9.081e-05', '2.428e-04']","['9.559e-06', '8.868e-05']","ALATA_L (0.4915569073711258): glu__L_c + pyr_c --> akg_c + ala__L_c, VPAMT (0.12210980241448668): 3mob_c + ala__L_c --> pyr_c + val__L_c",,0.0001208,1.272e-05,0.1053,0.01672,down,2.721e-07,,46.75,VPAMT,"['0.000e+00', '3.727e-01']","['0.000e+00', '2.243e-01']",3mob_c + ala__L_c --> pyr_c + val__L_c,,Overlaped Reaction Range
Cgl2976 and Cgl3090,"['1.701e-04', '3.439e-04']","['1.192e-05', '8.779e-05']",TRDR (0.13298443594186588): h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,,0.0002227,1.192e-05,0.05353,0.01568,down,1.405e-07,,84.85,,,,,,Overlaped Reaction Range
Cgl0423,"['1.028e-04', '2.245e-04']","['1.082e-05', '8.688e-05']",DHQTi (0.10432548228820675): 3dhq_c --> 3dhsk_c + h2o_c,,0.0001028,1.082e-05,0.1053,0.01423,down,5.837e-08,,185.4,DHQTi,"['1.057e-01', '2.432e-01']","['1.112e-02', '1.367e-01']",3dhq_c --> 3dhsk_c + h2o_c,,Overlaped Reaction Range
Cgl1183,"['1.078e-04', '2.421e-04']","['9.939e-06', '8.615e-05']",HSDy_reverse (0.30543840398354744): aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,,0.0001201,9.939e-06,0.08274,0.01307,down,2.14e-07,,46.44,HSDy,"['0.000e+00', '9.998e+02']","['0.000e+00', '1.000e+03']",hom__L_c + nadp_c --> aspsa_c + h_c + nadph_c,,Overlaped Reaction Range
Cgl2814 and Cgl2815,"['1.040e-04', '2.625e-04']","['6.716e-06', '8.258e-05']",SADT2 (0.11919842686675781): atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,,0.0001412,6.716e-06,0.04754,0.00883,down,8.269e-08,,81.22,SADT2,"['5.452e-02', '5.882e-01']","['5.739e-03', '5.221e-01']",atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,,Overlaped Reaction Range
Cgl2565 and Cgl2566,"['6.011e-04', '7.427e-04']","['0.000e+00', '5.455e-05']",SUCOAS (1.1727545705858677): adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c,,0.0006215,0.0,0.0,0.0,down,0.0,,144.0,,,,,,Overlaped Reaction Range
Cgl0269 and Cgl2729 and Cgl2731,"['6.138e-03', '6.312e-03']","['0.000e+00', '7.621e-05']",NADH18pp (15.280085926850393): 2dmmq8_c + 4.0 h_c + nadh_c --> 2dmmql8_c + 3.0 h_e + nad_c,,0.00619,0.0,0.0,0.0,down,0.0,,272.6,,,,,,Overlaped Reaction Range
