gene,enzyme_wild,enzyme_over,reaction_bio,reaction_pro,ref_e_con(g/gDW),over_e_con(g/gDW),Fold_change,enzyme_usage_over,manipulations_x,e1(mmol/gDW),kcat(1/h),mw(g/mg),reaction,flux_wild,flux_over,equation,manipulations_y,type
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR60x,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",h_c + nadh_c + thex2eACP_c --> hexACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR60y,"['0.000e+00', '2.007e-01']","['0.000e+00', '2.956e-02']",h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR80x,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR80y,"['0.000e+00', '2.007e-01']","['0.000e+00', '2.956e-02']",h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,,Overlaped Reaction Range
Cgl0251,"['6.967e-04', '8.767e-04']","['6.673e-05', '1.528e-04']",ASPK (0.40829748253568254): asp__L_c + atp_c --> 4pasp_c + adp_c,,0.0007547,6.673e-05,0.08841,0.07758,down,5.272e-07,,126.6,ASPK,"['3.473e-01', '1.000e+03']","['3.656e-02', '1.000e+03']",asp__L_c + atp_c --> 4pasp_c + adp_c,,Overlaped Reaction Range
Cgl1183 and Cgl1184,"['3.843e-04', '5.061e-04']","['4.046e-05', '1.265e-04']",HSK (0.20619947280779077): atp_c + hom__L_c --> adp_c + h_c + phom_c,,0.0003843,4.046e-05,0.1053,0.04703,down,5.117e-07,,79.06,HSK,"['2.088e-01', '5.077e-01']","['2.198e-02', '2.954e-01']",atp_c + hom__L_c --> adp_c + h_c + phom_c,,Overlaped Reaction Range
Cgl0942,"['2.238e-04', '3.458e-04']","['2.356e-05', '1.203e-04']",PRPPS (0.1450188901515138): atp_c + r5p_c --> amp_c + h_c + prpp_c,,0.0002238,3.417e-05,0.1527,0.03973,down,1.602e-07,,213.3,PRPPS,"['1.469e-01', '1.000e+03']","['1.546e-02', '1.000e+03']",atp_c + r5p_c --> amp_c + h_c + prpp_c,,Overlaped Reaction Range
Cgl0764,"['2.327e-04', '3.547e-04']","['2.449e-05', '1.106e-04']",PSCVT (0.10432548228818884): pep_c + skm5p_c --> 3psme_c + pi_c,,0.0002327,2.449e-05,0.1053,0.02848,down,5.38e-07,,45.53,PSCVT,"['1.057e-01', '1.000e+03']","['1.112e-02', '1.000e+03']",pep_c + skm5p_c --> 3psme_c + pi_c,,Overlaped Reaction Range
Cgl0996,"['1.645e-04', '2.857e-04']","['1.731e-05', '1.141e-04']",GHMT2r (0.2215452210357154): ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,0.0001645,2.242e-05,0.1363,0.02607,down,2.409e-07,,93.08,ALATA_D2,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,,Overlaped Reaction Range
Cgl0996,"['1.645e-04', '2.857e-04']","['1.731e-05', '1.141e-04']",GHMT2r (0.2215452210357154): ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,0.0001645,2.242e-05,0.1363,0.02607,down,2.409e-07,,93.08,ALATA_L2,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,,Overlaped Reaction Range
Cgl0996,"['1.645e-04', '2.857e-04']","['1.731e-05', '1.141e-04']",GHMT2r (0.2215452210357154): ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,0.0001645,2.242e-05,0.1363,0.02607,down,2.409e-07,,93.08,GHMT2r,"['2.244e-01', '1.000e+03']","['2.362e-02', '1.000e+03']",ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,Overlaped Reaction Range
Cgl1540,"['5.313e-04', '6.648e-04']","['1.983e-05', '1.112e-04']","ACONTa (1.9478573234385415): cit_c --> acon_C_c + h2o_c, ACONTb (1.9478573234385415): acon_C_c + h2o_c --> icit_c",,0.0005429,1.983e-05,0.03652,0.02305,down,1.949e-07,,101.7,ACONTa,"['5.803e-01', '1.000e+03']","['6.109e-02', '1.000e+03']",cit_c --> acon_C_c + h2o_c,,Overlaped Reaction Range
Cgl1540,"['5.313e-04', '6.648e-04']","['1.983e-05', '1.112e-04']","ACONTa (1.9478573234385415): cit_c --> acon_C_c + h2o_c, ACONTb (1.9478573234385415): acon_C_c + h2o_c --> icit_c",,0.0005429,1.983e-05,0.03652,0.02305,down,1.949e-07,,101.7,ACONTb,"['5.803e-01', '1.000e+03']","['6.109e-02', '1.000e+03']",acon_C_c + h2o_c --> icit_c,,Overlaped Reaction Range
Cgl0696,"['3.946e-04', '5.659e-04']","['0.000e+00', '8.155e-05']",CS_num1 (1.9478573234385412): accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,,0.0004442,1.622e-05,0.03652,0.01886,down,1.906e-07,,85.13,CS_num1,"['0.000e+00', '8.566e+00']","['0.000e+00', '7.032e+00']",accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,,Overlaped Reaction Range
Cgl2204,"['1.486e-04', '3.001e-04']","['1.564e-05', '1.047e-04']",LEUTAi (0.15699863174628573): 4mop_c + glu__L_c --> akg_c + leu__L_c,,0.0001486,1.564e-05,0.1053,0.01819,down,3.752e-07,,41.69,ILETA,"['8.539e-02', '1.000e+03']","['8.988e-03', '1.000e+03']",3mop_c + glu__L_c --> akg_c + ile__L_c,,Overlaped Reaction Range
Cgl2204,"['1.486e-04', '3.001e-04']","['1.564e-05', '1.047e-04']",LEUTAi (0.15699863174628573): 4mop_c + glu__L_c --> akg_c + leu__L_c,,0.0001486,1.564e-05,0.1053,0.01819,down,3.752e-07,,41.69,VALTA,"['0.000e+00', '3.727e-01']","['0.000e+00', '2.243e-01']",3mob_c + glu__L_c --> akg_c + val__L_c,,Overlaped Reaction Range
Cgl2204,"['1.486e-04', '3.001e-04']","['1.564e-05', '1.047e-04']",LEUTAi (0.15699863174628573): 4mop_c + glu__L_c --> akg_c + leu__L_c,,0.0001486,1.564e-05,0.1053,0.01819,down,3.752e-07,,41.69,LEUTAi,"['1.590e-01', '1.000e+03']","['1.674e-02', '1.000e+03']",4mop_c + glu__L_c --> akg_c + leu__L_c,,Overlaped Reaction Range
Cgl0366 and Cgl1129 and Cgl2207,"['1.526e-03', '1.685e-03']","['1.240e-05', '8.100e-05']",AKGDH (1.3749001511213035): akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,,0.001574,1.24e-05,0.007879,0.01442,down,5.984e-09,,2072.0,,,,,,Overlaped Reaction Range
Cgl2976 and Cgl3090,"['1.701e-04', '3.445e-04']","['1.192e-05', '9.776e-05']",TRDR (0.13298443594183237): h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,,0.0002227,1.192e-05,0.05353,0.01386,down,1.405e-07,,84.85,,,,,,Overlaped Reaction Range
Cgl0423,"['1.028e-04', '2.245e-04']","['1.082e-05', '9.684e-05']",DHQTi (0.10432548228818884): 3dhq_c --> 3dhsk_c + h2o_c,,0.0001028,1.082e-05,0.1053,0.01258,down,5.837e-08,,185.4,DHQTi,"['1.057e-01', '2.432e-01']","['1.112e-02', '1.367e-01']",3dhq_c --> 3dhsk_c + h2o_c,,Overlaped Reaction Range
Cgl1183,"['1.078e-04', '2.416e-04']","['9.939e-06', '9.586e-05']",HSDy_reverse (0.3054384039834841): aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,,0.0001201,9.939e-06,0.08274,0.01155,down,2.14e-07,,46.44,HSDy,"['0.000e+00', '9.998e+02']","['0.000e+00', '1.000e+03']",hom__L_c + nadp_c --> aspsa_c + h_c + nadph_c,,Overlaped Reaction Range
Cgl2814 and Cgl2815,"['1.040e-04', '2.524e-04']","['6.716e-06', '9.274e-05']",SADT2 (0.11919842686672667): atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,,0.0001412,6.716e-06,0.04754,0.007807,down,8.269e-08,,81.22,SADT2,"['5.452e-02', '5.882e-01']","['5.739e-03', '5.221e-01']",atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,,Overlaped Reaction Range
Cgl1010,"['2.298e-04', '3.531e-04']","['3.624e-06', '9.180e-05']",FUM (1.5532484997425233): fum_c + h2o_c --> mal__L_c,,0.0002316,5.441e-06,0.02349,0.006326,down,2.707e-08,,201.0,FUM,"['1.170e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",fum_c + h2o_c --> mal__L_c,,Overlaped Reaction Range
Cgl2565 and Cgl2566,"['6.011e-04', '7.433e-04']","['0.000e+00', '9.031e-05']",SUCOAS (1.1727545705840636): adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c,,0.0006215,0.0,0.0,0.0,down,0.0,,144.0,,,,,,Overlaped Reaction Range
Cgl0269 and Cgl2729 and Cgl2731,"['6.138e-03', '6.311e-03']","['0.000e+00', '8.611e-05']",NADH18pp (15.280085926847226): 2dmmq8_c + 4.0 h_c + nadh_c --> 2dmmql8_c + 3.0 h_e + nad_c,,0.00619,0.0,0.0,0.0,down,0.0,,272.6,,,,,,Overlaped Reaction Range
