gene,enzyme_wild,enzyme_over,reaction_bio,reaction_pro,ref_e_con(g/gDW),over_e_con(g/gDW),Fold_change,enzyme_usage_over,manipulations_x,e1(mmol/gDW),kcat(1/h),mw(g/mg),reaction,flux_wild,flux_over,equation,manipulations_y,type
Cgl0719,"['3.768e-04', '4.987e-04']","['5.980e-05', '1.210e-04']","EAR121y (0.10304996128763137): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128763137): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479332218): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.1883393471560543): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.1883393471560543): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715605433): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.1321,down,2.47e-06,,27.87,EAR181y,"['0.000e+00', '1.053e-01']","['0.000e+00', '1.721e-02']",h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.980e-05', '1.210e-04']","EAR121y (0.10304996128763137): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128763137): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479332218): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.1883393471560543): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.1883393471560543): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715605433): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.1321,down,2.47e-06,,27.87,EAR40x,"['0.000e+00', '2.008e-01']","['0.000e+00', '3.281e-02']",but2eACP_c + h_c + nadh_c --> butACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.980e-05', '1.210e-04']","EAR121y (0.10304996128763137): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128763137): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479332218): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.1883393471560543): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.1883393471560543): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715605433): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.1321,down,2.47e-06,,27.87,EAR40y,"['0.000e+00', '2.007e-01']","['0.000e+00', '3.281e-02']",but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.980e-05', '1.210e-04']","EAR121y (0.10304996128763137): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128763137): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479332218): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.1883393471560543): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.1883393471560543): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715605433): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.1321,down,2.47e-06,,27.87,EAR60x,"['0.000e+00', '2.008e-01']","['0.000e+00', '3.281e-02']",h_c + nadh_c + thex2eACP_c --> hexACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.980e-05', '1.210e-04']","EAR121y (0.10304996128763137): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128763137): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479332218): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.1883393471560543): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.1883393471560543): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715605433): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.1321,down,2.47e-06,,27.87,EAR60y,"['0.000e+00', '2.007e-01']","['0.000e+00', '3.281e-02']",h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.980e-05', '1.210e-04']","EAR121y (0.10304996128763137): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128763137): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479332218): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.1883393471560543): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.1883393471560543): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715605433): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.1321,down,2.47e-06,,27.87,EAR80x,"['0.000e+00', '2.008e-01']","['0.000e+00', '3.281e-02']",h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.980e-05', '1.210e-04']","EAR121y (0.10304996128763137): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128763137): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479332218): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.1883393471560543): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.1883393471560543): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715605433): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.1321,down,2.47e-06,,27.87,EAR80y,"['0.000e+00', '2.007e-01']","['0.000e+00', '3.281e-02']",h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,,Overlaped Reaction Range
Cgl0251,"['6.967e-04', '8.762e-04']","['6.673e-05', '1.189e-04']",ASPK (0.40829748253985104): asp__L_c + atp_c --> 4pasp_c + adp_c,,0.0007547,6.673e-05,0.08841,0.1281,down,5.272e-07,,126.6,ASPK,"['3.473e-01', '1.000e+03']","['3.656e-02', '1.000e+03']",asp__L_c + atp_c --> 4pasp_c + adp_c,,Overlaped Reaction Range
Cgl1183 and Cgl1184,"['3.843e-04', '4.954e-04']","['4.046e-05', '9.257e-05']",HSK (0.20619947280989268): atp_c + hom__L_c --> adp_c + h_c + phom_c,,0.0003843,4.046e-05,0.1053,0.07764,down,5.117e-07,,79.06,HSK,"['2.088e-01', '5.077e-01']","['2.198e-02', '4.549e-01']",atp_c + hom__L_c --> adp_c + h_c + phom_c,,Overlaped Reaction Range
Cgl0942,"['2.238e-04', '3.452e-04']","['2.356e-05', '8.639e-05']",PRPPS (0.14501889015298558): atp_c + r5p_c --> amp_c + h_c + prpp_c,,0.0002238,3.417e-05,0.1527,0.06559,down,1.602e-07,,213.3,PRPPS,"['1.469e-01', '1.000e+03']","['1.546e-02', '1.000e+03']",atp_c + r5p_c --> amp_c + h_c + prpp_c,,Overlaped Reaction Range
Cgl0764,"['2.327e-04', '3.541e-04']","['2.449e-05', '7.671e-05']",PSCVT (0.10432548228925229): pep_c + skm5p_c --> 3psme_c + pi_c,,0.0002327,2.449e-05,0.1053,0.04701,down,5.38e-07,,45.53,PSCVT,"['1.057e-01', '1.000e+03']","['1.112e-02', '1.000e+03']",pep_c + skm5p_c --> 3psme_c + pi_c,,Overlaped Reaction Range
Cgl1452,"['2.342e-04', '3.742e-04']","['1.727e-05', '7.591e-05']",GND (2.8144430243407315): 6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,GND (0.26482998343941166): 6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,0.000253,2.38e-05,0.0941,0.04568,down,2.264e-07,"[('GND', 1170000.0)]",105.2,GND,"['0.000e+00', '8.571e+00']","['0.000e+00', '1.299e+00']",6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,,Overlaped Reaction Range
Cgl0996,"['1.645e-04', '2.857e-04']","['1.731e-05', '7.453e-05']",GHMT2r (0.22154522103796725): ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,0.0001645,2.242e-05,0.1363,0.04303,down,2.409e-07,,93.08,ALATA_D2,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,,Overlaped Reaction Range
Cgl0996,"['1.645e-04', '2.857e-04']","['1.731e-05', '7.453e-05']",GHMT2r (0.22154522103796725): ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,0.0001645,2.242e-05,0.1363,0.04303,down,2.409e-07,,93.08,ALATA_L2,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,,Overlaped Reaction Range
Cgl0996,"['1.645e-04', '2.857e-04']","['1.731e-05', '7.453e-05']",GHMT2r (0.22154522103796725): ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,0.0001645,2.242e-05,0.1363,0.04303,down,2.409e-07,,93.08,GHMT2r,"['2.244e-01', '1.000e+03']","['2.362e-02', '1.000e+03']",ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,,Overlaped Reaction Range
Cgl0366 and Cgl1129 and Cgl2207,"['1.526e-03', '1.695e-03']","['1.240e-05', '6.859e-05']",AKGDH (1.3749001512319818): akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,,0.001574,1.648e-05,0.01047,0.03163,down,7.954e-09,,2072.0,,,,,,Overlaped Reaction Range
Cgl2204,"['1.486e-04', '3.006e-04']","['1.564e-05', '7.102e-05']",LEUTAi (0.1569986317478861): 4mop_c + glu__L_c --> akg_c + leu__L_c,,0.0001486,1.564e-05,0.1053,0.03002,down,3.752e-07,,41.69,ILETA,"['8.539e-02', '1.000e+03']","['8.988e-03', '1.000e+03']",3mop_c + glu__L_c --> akg_c + ile__L_c,,Overlaped Reaction Range
Cgl2204,"['1.486e-04', '3.006e-04']","['1.564e-05', '7.102e-05']",LEUTAi (0.1569986317478861): 4mop_c + glu__L_c --> akg_c + leu__L_c,,0.0001486,1.564e-05,0.1053,0.03002,down,3.752e-07,,41.69,VALTA,"['0.000e+00', '3.727e-01']","['0.000e+00', '2.295e-01']",3mob_c + glu__L_c --> akg_c + val__L_c,,Overlaped Reaction Range
Cgl2204,"['1.486e-04', '3.006e-04']","['1.564e-05', '7.102e-05']",LEUTAi (0.1569986317478861): 4mop_c + glu__L_c --> akg_c + leu__L_c,,0.0001486,1.564e-05,0.1053,0.03002,down,3.752e-07,,41.69,LEUTAi,"['1.590e-01', '1.000e+03']","['1.674e-02', '1.000e+03']",4mop_c + glu__L_c --> akg_c + leu__L_c,,Overlaped Reaction Range
Cgl0240,"['1.332e-04', '2.546e-04']","['1.402e-05', '6.623e-05']",ASPTA_reverse (0.8181602799998842): glu__L_c + oaa_c --> akg_c + asp__L_c,,0.0001332,1.402e-05,0.1053,0.0269,down,1.482e-07,,94.59,ASPTA,"['0.000e+00', '9.992e+02']","['0.000e+00', '9.999e+02']",akg_c + asp__L_c --> glu__L_c + oaa_c,,Overlaped Reaction Range
Cgl2844,"['9.081e-05', '2.423e-04']","['9.559e-06', '6.493e-05']","ALATA_L (0.4915569073760522): glu__L_c + pyr_c --> akg_c + ala__L_c, VPAMT (0.12210980241571047): 3mob_c + ala__L_c --> pyr_c + val__L_c",,0.0001208,1.272e-05,0.1053,0.02441,down,2.721e-07,,46.75,ALATA_L,"['3.742e-01', '1.000e+03']","['3.938e-02', '1.000e+03']",glu__L_c + pyr_c --> akg_c + ala__L_c,,Overlaped Reaction Range
Cgl2844,"['9.081e-05', '2.423e-04']","['9.559e-06', '6.493e-05']","ALATA_L (0.4915569073760522): glu__L_c + pyr_c --> akg_c + ala__L_c, VPAMT (0.12210980241571047): 3mob_c + ala__L_c --> pyr_c + val__L_c",,0.0001208,1.272e-05,0.1053,0.02441,down,2.721e-07,,46.75,VPAMT,"['0.000e+00', '3.727e-01']","['0.000e+00', '2.295e-01']",3mob_c + ala__L_c --> pyr_c + val__L_c,,Overlaped Reaction Range
Cgl2976 and Cgl3090,"['1.701e-04', '3.445e-04']","['1.192e-05', '6.403e-05']",TRDR (0.13298443594319442): h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,,0.0002227,1.192e-05,0.05353,0.02288,down,1.405e-07,,84.85,,,,,,Overlaped Reaction Range
Cgl0423,"['1.028e-04', '2.245e-04']","['1.082e-05', '6.293e-05']",DHQTi (0.10432548228925229): 3dhq_c --> 3dhsk_c + h2o_c,,0.0001028,1.082e-05,0.1053,0.02077,down,5.837e-08,,185.4,DHQTi,"['1.057e-01', '2.432e-01']","['1.112e-02', '1.554e-01']",3dhq_c --> 3dhsk_c + h2o_c,,Overlaped Reaction Range
Cgl1183,"['1.078e-04', '2.421e-04']","['9.939e-06', '6.215e-05']",HSDy_reverse (0.30543840398660405): aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,,0.0001201,9.939e-06,0.08274,0.01907,down,2.14e-07,,46.44,HSDy,"['0.000e+00', '9.998e+02']","['0.000e+00', '1.000e+03']",hom__L_c + nadp_c --> aspsa_c + h_c + nadph_c,,Overlaped Reaction Range
Cgl1575,"['9.828e-05', '2.293e-04']","['6.261e-06', '6.181e-05']","TALA (0.8355655450992733): g3p_c + s7p_c --> e4p_c + f6p_c, TKT2 (0.731240062810021): e4p_c + xu5p__D_c --> f6p_c + g3p_c",,0.0001079,9.597e-06,0.08896,0.01842,down,2.504e-07,,38.33,TALA,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",g3p_c + s7p_c --> e4p_c + f6p_c,,Overlaped Reaction Range
Cgl1575,"['9.828e-05', '2.293e-04']","['6.261e-06', '6.181e-05']","TALA (0.8355655450992733): g3p_c + s7p_c --> e4p_c + f6p_c, TKT2 (0.731240062810021): e4p_c + xu5p__D_c --> f6p_c + g3p_c",,0.0001079,9.597e-06,0.08896,0.01842,down,2.504e-07,,38.33,TKT2,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",e4p_c + xu5p__D_c --> f6p_c + g3p_c,,Overlaped Reaction Range
Cgl1286,"['6.515e-05', '1.869e-04']","['6.858e-06', '5.897e-05']",IPMD (0.1569986317478861): 3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,,6.515e-05,6.858e-06,0.1053,0.01316,down,9.487e-08,,72.29,IPMD,"['1.590e-01', '3.574e-01']","['1.674e-02', '1.610e-01']",3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,,Overlaped Reaction Range
Cgl2814 and Cgl2815,"['1.040e-04', '2.630e-04']","['6.716e-06', '5.883e-05']",SADT2 (0.1191984268679482): atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,,0.0001412,6.716e-06,0.04754,0.01289,down,8.269e-08,,81.22,SADT2,"['5.452e-02', '5.882e-01']","['5.739e-03', '2.032e+00']",atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,,Overlaped Reaction Range
Cgl1010,"['2.300e-04', '3.531e-04']","['7.969e-07', '5.819e-05']",FUM (1.5532484998550065): fum_c + h2o_c --> mal__L_c,,0.0002316,5.973e-06,0.02579,0.01146,down,2.972e-08,,201.0,FUM,"['1.170e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",fum_c + h2o_c --> mal__L_c,,Overlaped Reaction Range
Cgl2565 and Cgl2566,"['6.012e-04', '7.427e-04']","['0.000e+00', '5.211e-05']",SUCOAS (1.172754570692675): adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c,,0.0006215,0.0,0.0,0.0,down,0.0,,144.0,,,,,,Overlaped Reaction Range
Cgl2380,"['1.645e-04', '3.054e-04']","['0.000e+00', '5.221e-05']",MDH (1.5532484998550065): mal__L_c + nad_c --> h_c + nadh_c + oaa_c,,0.0001839,0.0,0.0,0.0,down,0.0,,139.6,MDH,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",mal__L_c + nad_c --> h_c + nadh_c + oaa_c,,Overlaped Reaction Range
Cgl2380,"['1.645e-04', '3.054e-04']","['0.000e+00', '5.221e-05']",MDH (1.5532484998550065): mal__L_c + nad_c --> h_c + nadh_c + oaa_c,,0.0001839,0.0,0.0,0.0,down,0.0,,139.6,MDH3,"['0.000e+00', '7.472e+00']","['0.000e+00', '1.517e+01']",mal__L_c + mqn8_c --> mql8_c + oaa_c,,Overlaped Reaction Range
Cgl1206 and Cgl1207 and Cgl1208 and Cgl1209 and Cgl1210 and Cgl1211 and Cgl1212 and Cgl1213,"['3.312e-02', '3.341e-02']","['0.000e+00', '4.364e-04']",ATPS4rpp (27.31243950501573): adp_c + 4.0 h_e + pi_c --> atp_c + h2o_c + 3.0 h_c,,0.03329,0.0,0.0,0.0,down,0.0,,471.2,,,,,,Overlaped Reaction Range
Cgl0269 and Cgl2729 and Cgl2731,"['6.138e-03', '6.311e-03']","['0.000e+00', '5.221e-05']",NADH16pp (15.280085927038108): 4.0 h_c + nadh_c + q8_c --> 3.0 h_e + nad_c + q8h2_c,,0.00619,0.0,0.0,0.0,down,0.0,,272.6,,,,,,Overlaped Reaction Range
